Rank,Player,Team,Pos,OVR,OFF,DEF,REB,ReleaseSpeed,ShootingRange,ShotVersatility,RimPressure,HandleUnderPressure,PassingReads,FootSpeed,Stamina,DefensiveEffort,SchemeIQ,RimDeterrence,ScreenNavigation,OffensiveRebounding,Portability,PlayoffTranslation
1,Nikola Jokic,DEN,C,98,86,75,79,60,78,90,85,90,99,65,88,75,92,65,68,80,70,92
2,Shai Gilgeous-Alexander,OKC,G,97,91,82,48,82,85,93,95,97,88,90,92,90,92,55,91,35,78,98
3,Victor Wembanyama,SA,C,97,79,94,83,70,75,82,88,80,78,82,85,97,93,99,88,78,85,96
4,Kevin Durant,HOU,F,95,85,81,53,88,90,92,78,85,83,75,80,82,88,75,80,40,85,93
5,Kawhi Leonard,LAC,F,94,79,86,49,78,80,85,80,82,70,80,70,93,90,70,92,38,90,96
6,Giannis Antetokounmpo,MIL,F,93,69,86,88,35,38,60,99,78,75,85,90,90,85,88,80,88,45,78
7,Cade Cunningham,DET,G,92,85,73,46,70,75,86,86,90,92,75,88,78,84,50,80,35,70,88
8,Joel Embiid,PHI,C,92,80,71,74,65,78,88,92,80,78,60,60,70,78,80,55,75,60,80
9,Anthony Davis,WAS,F/C,91,71,87,81,60,70,78,85,70,65,75,70,90,88,92,78,80,78,86
10,Jayson Tatum,BOS,F,91,80,79,57,80,84,88,78,80,75,78,75,82,85,65,84,50,78,88
11,Luka Doncic,LAL,G,91,89,45,35,75,82,92,85,95,95,50,60,45,65,30,40,30,50,75
12,Anthony Edwards,MIN,G,90,81,70,45,80,82,84,88,84,70,88,85,80,75,45,80,35,72,84
13,Jalen Brunson,NYK,G,89,87,51,33,84,86,90,80,92,84,65,90,55,75,25,50,22,65,92
14,Donovan Mitchell,CLE,G,89,82,67,38,82,84,86,80,84,75,80,85,78,78,35,78,28,70,84
15,Tyrese Haliburton,IND,G,89,84,56,31,86,88,84,65,84,96,70,80,60,80,25,60,20,82,86
16,Jaylen Brown,BOS,G/F,88,76,70,46,78,78,82,80,76,65,84,82,80,75,45,78,38,70,80
17,Bam Adebayo,MIA,C/F,87,69,88,68,55,60,70,75,70,78,80,85,92,90,80,90,60,88,88
18,Evan Mobley,CLE,F/C,87,66,90,73,55,62,70,75,65,70,85,85,92,90,90,88,65,85,88
19,Zion Williamson,NOP,F,86,68,60,73,40,45,60,96,75,70,80,60,65,60,60,55,80,50,65
20,Domantas Sabonis,SAC,C,86,68,50,83,50,55,65,70,65,92,50,80,50,60,55,35,92,60,65
21,Devin Booker,PHX,G,86,83,63,37,82,84,84,80,84,80,75,80,72,76,30,72,28,72,82
22,Jalen Williams,OKC,F/G,85,76,74,48,70,74,78,78,78,75,80,80,80,80,55,82,38,80,82
23,Alperen Sengun,HOU,C,85,69,56,76,50,55,68,70,70,88,55,80,55,65,60,45,80,60,65
24,Karl-Anthony Towns,NYK,C/F,84,71,50,68,75,86,80,65,65,70,50,70,50,60,60,30,70,65,60
25,Jaren Jackson Jr,MEM,F/C,84,64,86,66,65,75,75,68,60,55,78,80,90,85,92,78,55,80,80
26,Ja Morant,MEM,G,84,91,57,39,87,92,92,85,99,81,81,73,63,71,36,57,31,56,91
27,Cooper Flagg,DAL,F,83,68,76,61,50,52,65,80,72,75,82,85,85,78,62,80,55,65,70
28,Scottie Barnes,TOR,F,83,71,76,58,55,58,70,78,75,78,82,85,80,78,65,80,50,72,72
29,Paolo Banchero,ORL,F,83,74,62,52,60,65,78,82,78,70,70,78,65,68,55,60,45,65,70
30,James Harden,CLE,G,83,84,44,29,60,70,88,82,92,95,45,65,45,65,25,40,22,50,65
31,Rudy Gobert,MIN,C,83,34,86,79,20,22,30,50,35,40,60,78,88,88,96,70,75,75,78
32,Stephen Curry,GS,G,82,83,48,24,99,99,90,55,80,84,55,65,50,75,18,48,15,70,78
33,Chet Holmgren,OKC,C/F,82,64,84,62,65,72,70,65,60,60,75,78,85,85,92,75,50,80,80
